elevation,soil_depth,clay_content,annual_rainfall,distance_to_river,ndvi_score,month,risk_score
55.0,275.0,21.0,975.0,21.8,0.12,4,55.1
809.0,27.0,7.0,2193.0,9.8,0.11,1,100.0
223.0,264.0,60.7,2138.0,43.5,0.55,2,13.2
1082.0,53.0,33.7,873.0,11.6,0.25,8,83.2
855.0,70.0,60.3,1891.0,7.9,0.52,9,34.4
722.0,247.0,27.9,440.0,29.2,0.32,8,72.1
558.0,160.0,37.5,2038.0,39.3,0.54,8,57.6
1025.0,208.0,57.3,483.0,28.4,0.54,12,78.7
310.0,211.0,62.9,1070.0,47.9,0.47,3,56.0
783.0,90.0,61.5,1809.0,40.4,0.27,10,56.8
1155.0,22.0,66.7,2496.0,9.2,0.72,6,69.6
1071.0,206.0,31.2,1151.0,21.1,0.26,6,77.9
996.0,79.0,33.9,754.0,44.3,0.36,7,100.0
805.0,127.0,12.9,1044.0,21.6,0.5,1,99.8
602.0,116.0,46.1,1487.0,29.4,0.59,3,73.6
238.0,221.0,22.4,1686.0,2.0,0.76,1,3.8
498.0,196.0,13.7,2220.0,26.5,0.53,2,52.8
373.0,52.0,21.9,1922.0,32.4,0.28,8,67.6
425.0,42.0,51.3,2240.0,46.3,0.34,1,59.3
460.0,112.0,45.7,894.0,49.8,0.49,5,70.2
215.0,54.0,26.7,2377.0,17.7,0.64,1,39.6
429.0,266.0,16.8,2099.0,44.1,0.5,4,51.5
666.0,61.0,49.4,2431.0,3.2,0.79,6,26.3
646.0,261.0,66.2,1284.0,40.5,0.15,10,42.4
91.0,103.0,24.8,1364.0,34.0,0.19,5,64.2
839.0,149.0,24.4,1794.0,28.9,0.6,9,47.7
865.0,100.0,44.2,731.0,1.3,0.41,12,57.2
392.0,213.0,43.1,1505.0,20.2,0.52,4,30.8
418.0,102.0,23.3,510.0,17.0,0.55,12,56.9
519.0,253.0,18.6,734.0,16.1,0.73,7,57.0
1056.0,185.0,20.1,1513.0,31.4,0.52,8,63.5
1047.0,150.0,36.8,1213.0,35.6,0.16,7,94.3
17.0,233.0,11.5,2363.0,48.0,0.28,6,34.1
218.0,127.0,53.0,2194.0,31.6,0.76,7,29.8
220.0,106.0,41.5,2466.0,34.6,0.68,7,31.4
1035.0,277.0,36.4,350.0,42.1,0.57,8,78.4
771.0,284.0,60.0,234.0,6.4,0.21,7,47.1
674.0,141.0,51.4,1303.0,17.4,0.6,8,42.0
1185.0,161.0,15.9,1135.0,44.3,0.62,12,78.9
16.0,121.0,13.1,2226.0,8.4,0.43,2,41.5
1055.0,257.0,47.7,1200.0,28.2,0.25,9,46.4
573.0,140.0,29.7,1767.0,21.0,0.43,11,51.4
816.0,245.0,20.4,2104.0,42.6,0.71,1,42.8
717.0,97.0,12.4,2168.0,18.4,0.57,8,67.6
435.0,116.0,48.1,1791.0,29.3,0.22,8,32.4
1187.0,269.0,67.3,345.0,36.8,0.34,10,69.1
937.0,160.0,32.1,695.0,28.2,0.26,4,98.7
83.0,139.0,61.8,1659.0,21.5,0.26,7,18.5
1144.0,273.0,25.3,536.0,42.7,0.72,6,72.3
442.0,43.0,55.1,2339.0,3.3,0.74,4,40.5
765.0,105.0,44.0,1768.0,39.1,0.22,7,47.2
534.0,242.0,30.9,1109.0,4.5,0.27,10,31.3
228.0,27.0,66.5,2072.0,36.8,0.67,5,64.0
1115.0,88.0,11.0,1506.0,37.4,0.47,12,100.0
363.0,42.0,21.5,276.0,44.8,0.58,12,100.0
687.0,26.0,13.1,619.0,23.7,0.43,3,100.0
291.0,84.0,56.4,1088.0,43.5,0.31,7,72.3
1166.0,239.0,11.3,1968.0,7.3,0.18,7,65.0
363.0,231.0,32.4,1609.0,22.0,0.15,12,37.6
534.0,54.0,9.2,2426.0,22.1,0.45,10,81.7
1088.0,96.0,37.7,2108.0,11.5,0.75,5,70.4
295.0,25.0,49.4,1502.0,32.1,0.14,10,62.1
177.0,37.0,27.0,863.0,6.7,0.1,9,64.5
709.0,147.0,16.9,1802.0,12.3,0.28,12,45.9
885.0,13.0,13.1,983.0,8.2,0.29,8,100.0
766.0,93.0,35.2,2120.0,8.3,0.39,8,50.9
707.0,72.0,43.8,1734.0,10.9,0.47,10,30.4
780.0,78.0,66.3,1844.0,49.7,0.24,12,65.3
