soil_type,soil_ph,avg_temperature,rainfall_7day,humidity,month,elevation,state,best_crop
1,8.3,11.1,178.3,60.7,11,1207.0,9,1
1,6.3,16.4,170.6,94.3,11,1027.0,4,1
1,5.2,32.1,79.8,21.7,6,882.0,2,13
0,8.0,37.1,18.5,91.3,12,774.0,5,13
1,6.7,30.5,68.0,59.6,1,86.0,3,4
0,6.8,36.7,124.8,47.6,5,269.0,4,0
0,5.7,29.0,53.6,21.9,11,1322.0,1,5
2,6.5,41.0,64.4,22.0,7,199.0,3,0
1,4.9,12.7,168.3,38.5,5,817.0,9,1
0,7.4,17.1,63.0,40.9,8,1231.0,0,10
0,7.3,34.1,129.1,91.7,2,347.0,3,4
0,8.2,37.9,13.4,46.5,6,1098.0,3,13
2,7.8,11.4,37.5,64.6,5,148.0,2,3
0,6.1,17.2,83.7,82.1,1,623.0,2,7
2,7.2,40.9,77.8,39.4,7,1467.0,7,0
0,8.2,17.9,66.2,28.5,2,1029.0,3,10
1,4.6,18.2,8.1,82.3,6,1257.0,4,5
1,6.4,23.9,164.0,33.7,9,672.0,5,4
1,7.5,14.3,196.1,91.6,12,631.0,4,1
3,5.3,14.6,171.3,36.2,3,577.0,3,1
2,4.8,34.0,40.9,30.5,2,1197.0,2,12
3,7.2,41.8,97.5,91.2,12,122.0,2,0
1,5.9,19.6,31.0,40.5,11,635.0,5,5
1,7.1,25.8,78.3,43.6,5,181.0,8,9
3,6.0,32.5,140.7,25.4,1,74.0,1,4
3,5.4,34.3,165.7,46.5,2,725.0,3,4
2,5.4,26.4,25.5,89.0,9,897.0,2,14
3,6.7,27.2,117.2,52.8,5,805.0,3,3
2,7.7,34.3,25.2,57.2,1,306.0,3,4
1,5.6,20.3,157.2,78.4,11,364.0,2,5
1,7.6,33.5,95.6,24.4,11,909.0,3,3
0,8.5,18.5,139.2,41.6,3,837.0,0,10
1,8.5,32.2,94.0,44.8,4,399.0,9,3
2,7.2,39.9,32.3,81.8,11,669.0,0,1
3,5.6,29.2,106.9,43.7,6,1260.0,4,0
2,6.0,17.4,84.6,59.3,4,273.0,1,3
2,4.8,12.0,123.6,79.9,4,647.0,6,11
0,5.0,37.2,115.8,59.2,4,214.0,5,12
1,4.8,13.6,17.5,32.3,1,536.0,6,1
0,8.2,40.8,194.7,88.8,1,1181.0,7,12
0,6.9,26.4,138.8,64.3,5,1463.0,7,14
1,6.3,11.7,43.6,47.5,11,1025.0,6,1
3,6.6,19.5,55.5,48.1,2,1013.0,5,1
0,5.3,37.9,17.8,64.8,1,1469.0,1,2
2,8.2,17.4,71.0,78.4,7,1305.0,5,0
1,8.2,37.1,109.3,74.0,1,616.0,2,4
1,5.8,41.2,187.9,64.7,9,765.0,8,0
2,5.9,11.8,118.7,67.7,10,284.0,3,11
0,7.8,31.9,127.1,65.6,10,1087.0,8,14
1,5.3,40.9,110.4,55.0,5,1038.0,0,3
0,6.9,26.7,34.0,43.4,9,148.0,8,14
1,8.3,20.8,40.5,68.6,7,976.0,0,5
2,6.5,17.8,40.8,46.0,10,96.0,3,1
3,8.5,11.7,9.6,93.5,8,310.0,9,11
2,6.1,26.9,113.8,54.4,6,704.0,1,3
2,5.4,37.0,141.4,71.3,1,97.0,8,4
3,6.8,13.2,136.4,69.1,4,1402.0,1,1
0,8.0,24.9,145.3,22.2,6,75.0,9,0
1,5.7,30.9,23.1,88.4,3,1357.0,2,5
1,6.2,32.8,47.8,54.6,1,716.0,2,2
3,7.9,22.5,1.4,62.1,8,496.0,4,5
2,8.5,37.2,172.8,66.3,8,196.0,4,12
3,5.8,39.5,81.2,81.4,2,796.0,9,12
1,6.1,13.3,45.0,44.7,1,836.0,7,11
3,4.9,19.8,14.2,44.8,3,1034.0,6,1
2,5.0,15.4,157.1,70.9,5,659.0,1,0
2,5.0,15.0,194.0,58.9,11,589.0,2,1
1,8.0,14.1,186.9,38.3,5,182.0,1,1
2,4.8,10.6,136.2,81.7,12,1280.0,7,1
3,5.2,22.8,47.5,29.7,7,967.0,0,6
1,5.7,18.7,39.3,57.0,11,1442.0,3,5
1,4.9,23.6,53.6,43.6,12,534.0,0,5
2,6.0,20.9,119.2,36.6,2,255.0,3,4
3,4.6,37.3,27.5,30.2,11,42.0,9,13
2,7.7,16.3,100.3,29.5,1,1167.0,5,4
2,5.6,17.7,4.1,23.1,2,1314.0,5,10
0,7.0,31.1,96.7,54.9,10,710.0,7,5
3,7.5,32.6,47.3,24.1,11,1031.0,2,10
2,6.5,28.3,104.1,89.8,4,830.0,3,3
3,6.2,16.6,171.6,65.7,2,1299.0,0,4
2,7.0,23.0,91.9,31.4,3,1180.0,6,12
0,6.9,23.5,94.6,75.4,11,1395.0,8,11
3,4.5,17.7,52.6,92.2,4,620.0,9,11
3,7.0,10.0,138.3,48.2,9,758.0,4,1
2,5.2,30.8,65.3,51.2,6,1367.0,8,0
3,8.2,16.3,43.0,70.2,1,1307.0,9,8
0,7.6,25.4,171.9,45.7,12,1155.0,6,10
0,6.0,17.2,19.9,68.3,4,1012.0,0,10
3,5.8,35.0,37.3,79.0,5,1315.0,1,9
3,5.4,18.0,61.7,69.4,7,31.0,0,5
3,7.1,36.0,124.9,67.3,9,1263.0,4,4
2,7.0,15.2,97.9,33.5,10,180.0,3,4
1,5.8,12.4,113.0,83.0,4,113.0,8,12
0,6.1,17.1,120.0,83.4,5,1092.0,5,8
1,5.1,15.4,38.9,76.8,2,861.0,9,11
3,6.5,27.1,60.4,83.6,9,225.0,8,14
2,8.2,29.8,11.5,33.9,11,509.0,0,10
2,7.7,15.8,67.7,35.2,2,165.0,2,1
0,6.4,14.5,120.9,34.6,1,498.0,5,8
3,5.3,11.3,130.2,33.4,11,678.0,5,1
0,7.6,15.3,105.4,57.3,3,411.0,0,12
3,5.3,25.1,193.2,70.0,4,1476.0,9,0
1,7.9,20.2,43.3,74.8,8,59.0,3,7
3,8.5,33.3,60.6,92.2,6,495.0,1,3
3,8.3,28.7,72.5,37.5,2,1167.0,6,4
0,6.8,30.7,151.2,56.5,2,557.0,4,4
3,5.2,18.6,198.9,63.0,7,717.0,4,7
0,5.1,32.2,142.9,32.0,9,767.0,8,14
0,6.0,34.5,185.8,64.6,4,1101.0,3,3
1,5.7,38.6,168.7,89.4,9,1087.0,3,4
0,8.1,32.2,166.0,38.0,5,86.0,8,12
1,7.0,36.7,119.9,64.1,1,863.0,5,4
0,6.5,33.1,163.0,49.9,3,221.0,2,12
2,4.5,15.5,8.5,78.6,1,602.0,4,1
0,5.4,19.8,153.5,63.9,10,371.0,5,11
1,5.2,40.3,177.6,88.0,10,646.0,0,4
3,5.4,23.8,173.1,64.8,6,746.0,4,12
1,5.9,31.8,167.8,54.3,2,1209.0,5,12
0,4.8,20.4,144.2,30.7,8,208.0,8,0
2,6.9,25.6,37.2,22.6,9,531.0,7,10
2,7.5,18.0,15.5,24.1,2,792.0,7,1
1,5.4,39.2,51.5,49.4,8,510.0,0,13
1,5.6,16.8,187.2,63.2,9,373.0,1,4
2,6.5,31.6,121.7,70.4,9,1418.0,9,4
3,4.8,36.6,94.0,83.7,3,724.0,9,12
3,7.7,12.1,195.9,27.1,11,80.0,7,1
1,7.1,13.9,42.2,27.6,5,1350.0,9,1
3,8.5,30.5,38.2,92.8,12,467.0,6,3
3,6.9,26.6,50.1,93.9,5,1477.0,6,14
0,6.0,36.5,110.3,28.7,12,1242.0,8,13
2,7.1,31.7,21.5,69.5,10,1030.0,5,5
1,6.8,40.6,103.0,40.4,3,247.0,7,12
3,7.5,16.3,44.1,67.2,8,60.0,1,1
1,7.2,12.7,9.5,21.2,6,235.0,1,1
3,5.3,29.1,35.3,43.9,6,697.0,9,5
0,8.0,11.0,101.4,86.4,10,241.0,1,11
1,5.3,24.1,6.4,56.8,5,1280.0,4,14
3,7.5,27.8,199.5,66.2,9,653.0,5,4
2,4.9,13.1,64.2,51.7,3,332.0,1,12
0,4.8,27.3,100.3,86.6,7,689.0,2,13
0,6.4,29.6,98.6,86.8,7,101.0,4,7
0,5.6,41.2,8.1,48.4,6,1202.0,7,13
2,7.9,38.0,30.9,85.8,8,637.0,7,3
3,6.5,28.4,55.5,71.3,11,758.0,2,10
3,4.7,24.6,112.5,91.8,9,242.0,6,7
3,5.0,40.8,64.6,86.0,8,557.0,8,0
3,7.9,40.6,23.2,49.3,11,124.0,6,10
2,6.2,25.7,18.1,73.1,4,485.0,3,3
0,4.7,35.9,42.1,65.7,10,702.0,9,5
2,5.0,27.6,112.6,68.3,9,16.0,6,0
1,8.0,13.6,152.9,60.5,12,164.0,5,1
0,7.6,35.5,157.6,46.8,1,238.0,0,4
1,5.5,28.0,111.2,81.4,12,1323.0,8,9
1,5.4,34.5,147.2,20.0,3,657.0,3,12
0,7.0,16.6,114.1,70.5,12,12.0,0,8
2,5.4,40.0,181.0,27.7,10,1252.0,2,4
0,8.0,23.3,159.9,50.5,9,604.0,0,10
1,7.4,41.4,41.6,76.0,9,1478.0,8,1
2,5.1,28.0,76.9,62.1,12,1151.0,0,0
2,7.9,35.9,199.2,72.9,8,1048.0,9,0
1,8.4,26.9,77.9,88.3,11,932.0,3,5
2,4.7,38.6,32.5,29.5,11,1219.0,1,13
1,8.2,28.2,73.3,49.5,2,842.0,3,4
3,6.3,36.1,7.9,24.4,3,1095.0,0,12
1,5.1,40.7,174.8,83.9,8,1336.0,3,12
3,8.4,11.0,146.7,57.6,4,1099.0,3,1
3,8.5,14.5,42.7,82.9,9,860.0,6,11
3,8.0,41.2,74.0,93.4,10,530.0,9,1
0,6.4,26.6,112.6,71.4,12,19.0,5,7
