crop,soil_type,soil_ph,avg_temperature,rainfall_7day,humidity,area_acres,elevation,state,month,yield_per_acre
6,0,5.8,40.2,91.4,56.1,10.5,346.0,8,3,0.1
2,1,7.5,10.3,5.0,45.4,7.3,890.0,3,8,0.17
8,1,5.5,31.6,148.3,53.5,7.2,1266.0,1,1,1.71
3,3,8.0,10.1,86.8,68.6,3.2,1451.0,0,10,0.1
0,1,8.4,41.0,165.4,49.5,3.6,951.0,7,12,0.41
5,1,6.8,35.2,89.3,50.6,16.3,256.0,4,1,0.5
11,2,6.8,38.2,152.0,79.7,15.4,1254.0,7,5,0.1
14,2,7.5,21.1,56.1,64.9,1.2,188.0,6,9,0.57
11,3,6.6,19.4,96.1,71.6,17.3,205.0,2,6,0.14
3,0,6.8,30.4,122.1,86.1,8.8,1329.0,8,10,0.16
8,1,8.1,32.0,109.0,33.1,3.7,31.0,8,3,0.76
3,0,7.0,26.5,32.1,70.5,5.7,125.0,4,4,0.62
13,3,6.6,11.3,4.6,33.7,1.0,1479.0,3,3,0.1
14,0,5.9,36.5,29.5,62.8,3.4,1249.0,2,6,0.78
14,0,7.2,35.5,82.6,92.2,17.5,99.0,0,6,0.38
5,2,5.1,11.7,48.7,33.2,17.9,287.0,4,9,0.6
2,0,5.7,35.8,194.3,73.6,5.1,784.0,5,3,0.27
4,3,6.4,35.2,7.8,32.6,8.2,1322.0,5,9,11.78
7,3,5.9,18.6,68.9,81.5,13.3,282.0,9,8,4.42
3,1,8.4,24.2,128.2,33.9,9.9,440.0,5,9,0.17
11,3,4.6,12.0,183.7,24.3,2.6,534.0,5,12,0.11
4,1,6.9,35.5,4.5,57.5,3.2,574.0,1,2,16.11
9,1,7.6,15.0,154.9,40.7,18.7,1162.0,7,11,0.2
6,1,6.3,10.9,2.0,52.1,6.8,1420.0,4,1,0.11
10,0,4.6,32.4,165.8,31.7,4.0,210.0,7,1,0.1
6,2,8.2,32.2,148.4,46.6,3.8,1487.0,4,11,0.1
6,2,6.9,26.5,91.3,78.4,18.3,1146.0,9,11,0.21
7,2,8.2,16.1,118.7,41.0,1.4,438.0,6,5,1.4
3,3,4.8,25.1,53.7,48.3,11.3,603.0,1,6,0.35
